##        Index band       blue continuum     red continuum Units name
05    4222.250 4234.750  4211.000 4219.750  4241.000 4251.000 0  Ca4227 
06    4281.375 4316.375  4266.375 4282.625  4318.875 4335.125 0  G4300  
09    4369.125 4420.375  4359.125 4370.375  4442.875 4455.375 0  Fe4383 
10    4452.125 4474.625  4445.875 4454.625  4477.125 4492.125 0  Ca4455 
11    4514.250 4559.250  4504.250 4514.250  4560.500 4579.250 0  Fe4531 
12    4634.000 4720.250  4611.500 4630.250  4742.750 4756.500 0  Fe4668 
13    4758.500 4800.000  4742.750 4756.500  4827.875 4847.875 1  bTiO
10    4758.500 4800.000  4742.750 4756.500  4810.000 4830.000 1  bTiO_muse
09    4847.875 4876.625  4827.875 4847.875  4876.625 4891.625 0  H_beta 
16    4977.750 5054.000  4946.500 4977.750  5054.000 5065.250 0  Fe5015 
17    5069.125 5134.125  4895.125 4957.625  5301.125 5366.125 1  Mg_1   
18    5154.125 5196.625  4895.125 4957.625  5301.125 5366.125 1  Mg_2   
19    5160.125 5192.625  5142.625 5161.375  5191.375 5206.375 0  Mg_b   
20    5245.650 5285.650  5233.150 5248.150  5285.650 5318.150 0  Fe5270 
21    5312.125 5352.125  5304.625 5315.875  5353.375 5363.375 0  Fe5335 
22    5387.500 5415.000  5376.250 5387.500  5415.000 5425.000 0  Fe5406 
23    5696.625 5720.375  5672.875 5696.625  5722.875 5736.625 0  Fe5709 
24    5776.625 5796.625  5765.375 5775.375  5797.875 5811.625 0  Fe5782 
01	  5445.000 5600.000	 5420.000 5442.000	5630.000 5655.000 1  aTiO
25    5876.875 5909.375  5860.625 5875.625  5922.125 5948.125 0  Na_D   
26    5936.625 5994.125  5816.625 5849.125  6038.625 6103.625 1  TiO_1  
27    6189.625 6272.125  6066.625 6141.625  6372.625 6415.125 1  TiO_2 
27	  6165.625 6260.125  6066.625 6141.625  6382.625 6420.125 1  TiO_2_muse 
28    6357.500 6401.750  6342.125 6356.500  6408.500 6429.750 1  CaH_1
29    6775.000 6900.000  6510.000 6539.250  7017.000 7064.000 1  CaH_2
29    6740.000 6830.000  6510.000 6539.250  7017.000 7064.000 1  CaH_2_muse
30    7123.750 7162.500  7017.000 7064.000  7234.000 7269.000 1  TiO_3
31    7643.250 7717.250  7527.000 7577.750  7735.500 7782.750 1  TiO_4
32    8168.500 8234.125  8150.000 8168.400  8235.250 8250.000 0  NaI
02	  8484.000 8513.000  8474.000 8484.000  8563.000 8577.000 0	 CaT1
03	  8522.000 8562.000  8474.000 8484.000  8563.000 8577.000 0	 CaT2 
04	  8642.000 8682.000  8619.000 8642.000  8700.000 8725.000 0  CaT3
